id,topic,prompt,domains,recency_days,out_file
DRAFT_003,Draft & Scouting,Map combine/pro-day drills to position-relevant traits. Provide weighting ranges and caveats with sources.,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_003.md
DRAFT_004,Draft & Scouting,Define bust/hidden-gem distributions and how to sample them by position/round. Include calibration guidance.,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_004.md
DRAFT_005,Draft & Scouting,Summarize interview/psychometrics best practices and how to reflect them in-game as hidden traits and reveal triggers.,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_005.md
DRAFT_006,Draft & Scouting,"Draft board mechanics: BPA vs. need, future value discounting, and trade-up/down logic with acceptance tests.","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_006.md
DRAFT_007,Draft & Scouting,"Research how teams quantify scheme fit (zone vs. man CB, gap vs. zone OL). Provide mapping to performance multipliers.","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_007.md
DRAFT_008,Draft & Scouting,Study injury history as predictor; propose position-specific risk curves and mitigation strategies (medical grades).,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_008.md
DRAFT_009,Draft & Scouting,Build a cross-check protocol (film vs. data vs. interviews). Provide a scoring rubric and reviewer roles.,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_009.md
DRAFT_010,Draft & Scouting,"Summarize historical draft capital value charts (JJ, Fitzgerald-Spielberger, PFF). Provide conversion code sketch.","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_010.md
DRAFT_011,Draft & Scouting,Design UDFA discovery and bidding. Include scouting noise and fit bonuses.,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_011.md
DRAFT_012,Draft & Scouting,"Outline a realistic mock week of a GM pre-draft (meetings, board updates, medical, trade prep).","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_012.md
DRAFT_013,Draft & Scouting,"Create a schema for a Prospect object including hidden and revealed fields, audit trail of info sources.","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_013.md
DRAFT_014,Draft & Scouting,"Define acceptance tests for draft outcomes quality (variance, hit rates by round) compared to real NFL baselines.","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_014.md
AI_001,AI GM Archetypes,"Specify Analytics Architect decision policy (objective, constraints, risk). Output JSON + rationale with citations.","sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_001.md
AI_002,AI GM Archetypes,Specify Culture Commander policy including locker-room signals and penalties for 'bad apple' risk.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_002.md
AI_003,AI GM Archetypes,"Specify Strategic Rebuilder long-horizon asset model, discounting, and tolerance bands.","sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_003.md
AI_004,AI GM Archetypes,Specify Player-Centric Collaborator negotiation heuristics and escalation paths with agents.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_004.md
AI_005,AI GM Archetypes,Specify Aggressive Dealmaker trade-up/trade-for-star triggers and stop-loss conditions.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_005.md
AI_006,AI GM Archetypes,"Design hybrid/archetype blending logic with context switches (window, injuries, coaching changes).","sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_006.md
AI_007,AI GM Archetypes,Define a learning loop for AI GMs that adjusts weights from outcomes; include safe-guards to avoid exploitation loops.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_007.md
AI_008,AI GM Archetypes,Create evaluation metrics/KPIs for AI GMs across 10-season sims; include fairness checks.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_008.md
AI_009,AI GM Archetypes,Draft human-readable 'personas' that map to machine policies; include examples of signature moves.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_009.md
AI_010,AI GM Archetypes,Outline an agent-vs-agent trade negotiation protocol with reservation prices and time pressure.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_010.md
AI_011,AI GM Archetypes,Define simulation hooks for ownership pressure and media that influence GM decisions ethically.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_011.md
AI_012,AI GM Archetypes,Propose test scenarios to validate each archetype behaves distinctively and logically.,"sumersports.com,pff.com,mit.edu,arxiv.org,gamedeveloper.com",540,ai/AI_012.md
TRADE_001,Trades & Valuation,Survey trade value modeling in the NFL (picks vs. players). Provide a composite approach and calibration plan.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_001.md
TRADE_002,Trades & Valuation,"Design multi-asset trade evaluation (picks, players, cash-like cap effects). Include veto guards.","pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_002.md
TRADE_003,Trades & Valuation,Build a fair-trade detector for CPU proposals with configurable tolerance and context.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_003.md
TRADE_004,Trades & Valuation,Define player surplus value estimation using contract terms and aging curves by position.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_004.md
TRADE_005,Trades & Valuation,Model 'contender premium' and 'deadline pressure' on trade prices; provide equations.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_005.md
TRADE_006,Trades & Valuation,Propose a conflict-resolution mechanism when two CPU teams bid for the same player.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_006.md
TRADE_007,Trades & Valuation,Create acceptance tests: no trades violate cap/roster constraints; sanity bounds on value delta.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_007.md
TRADE_008,Trades & Valuation,Design pick-for-pick trade-down ladders consistent with historical data.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_008.md
TRADE_009,Trades & Valuation,Quantify uncertainty in player evaluation and propagate it into trade valuations.,"pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_009.md
TRADE_010,Trades & Valuation,"Document rare-but-real trade structures and how to represent them (conditional picks, de-escalators).","pff.com,si.com,espn.com,profootballtalk.nbcsports.com,nfl.com",540,trade/TRADE_010.md
ROSTER_001,Roster & Depth Charts,"Define 53-man rules, practice squad, elevations, gameday actives. Provide validation logic ready for unit tests.","nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_001.md
ROSTER_002,Roster & Depth Charts,Design depth-chart constraints per position group; include emergency QB rules and OL versatility mapping.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_002.md
ROSTER_003,Roster & Depth Charts,Create progression/regression curves by position and age; include uncertainty bands.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_003.md
ROSTER_004,Roster & Depth Charts,Map scheme fit (offense/defense) to role-based multipliers; include penalties for misfit usage.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_004.md
ROSTER_005,Roster & Depth Charts,Outline preseason cut and waiver claim simulation with realistic claim priority and cap checks.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_005.md
ROSTER_006,Roster & Depth Charts,Define position flex 'badges' and how they interact with injuries and depth chart logic.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_006.md
ROSTER_007,Roster & Depth Charts,Model leadership/locker room impact as team-level modifiers; ensure realism and guardrails.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_007.md
ROSTER_008,Roster & Depth Charts,Acceptance tests: season runs without invalid rosters; violations emit actionable errors.,"nfl.com,espn.com,si.com,pro-football-reference.com",365,roster/ROSTER_008.md
INJ_001,Injuries & Availability,Survey injury incidence by position and body area; create baseline probabilities and recovery times.,"nfl.com,espn.com,theathletic.com,bjsm.bmj.com,statpearls.com",365,injury/INJ_001.md
INJ_002,Injuries & Availability,Model recurring/compounding injuries and practice limitations; provide state machine diagrams.,"nfl.com,espn.com,theathletic.com,bjsm.bmj.com,statpearls.com",365,injury/INJ_002.md
INJ_003,Injuries & Availability,Design questionable/doubtful/out tags and elevation decisions; calibrate to realistic rates.,"nfl.com,espn.com,theathletic.com,bjsm.bmj.com,statpearls.com",365,injury/INJ_003.md
INJ_004,Injuries & Availability,Quantify performance penalties while playing hurt; include tapering curves.,"nfl.com,espn.com,theathletic.com,bjsm.bmj.com,statpearls.com",365,injury/INJ_004.md
INJ_005,Injuries & Availability,Integrate training staff quality as a modifier on injuries and time-to-return.,"nfl.com,espn.com,theathletic.com,bjsm.bmj.com,statpearls.com",365,injury/INJ_005.md
INJ_006,Injuries & Availability,Acceptance tests: injury simulation reproduces historical season totals within tolerance.,"nfl.com,espn.com,theathletic.com,bjsm.bmj.com,statpearls.com",365,injury/INJ_006.md
SIM_001,Game Simulation & Determinism,"Define determinism contract: seed in/seed out, fingerprinting, and CI checks across N seeds.","gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_001.md
SIM_002,Game Simulation & Determinism,Design a team-strength model (off/def/ST) that produces realistic score distributions by opponent strength.,"gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_002.md
SIM_003,Game Simulation & Determinism,Propose overtime and no-tie logic consistent with current NFL rules; include acceptance tests.,"gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_003.md
SIM_004,Game Simulation & Determinism,"Create a season schedule generator honoring divisional play, byes, and constraints; verify consistency.","gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_004.md
SIM_005,Game Simulation & Determinism,Define playoff seeding & tiebreakers; provide edge cases and test vectors.,"gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_005.md
SIM_006,Game Simulation & Determinism,Model weather/home-field impacts at a macro level without play-by-play; cite studies for effect sizes.,"gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_006.md
SIM_007,Game Simulation & Determinism,"Acceptance tests: season sim speed (<1s), determinism across runs, distribution checks.","gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_007.md
SIM_008,Game Simulation & Determinism,Telemetry plan: capture summary stats and anomalies for balancing.,"gamedeveloper.com,ieee.org,arxiv.org,mit.edu",365,sim/SIM_008.md
USE_001,USE Architecture,"Propose the Universal Simulation Engine module boundaries and data contracts (Players, Contracts, Cap, Draft, Trade, Sim).","gamedeveloper.com,docs.python.org,fastapi.tiangolo.com,react.dev,nodejs.org",365,engine/USE_001.md
USE_002,USE Architecture,Define persistence format (JSON/SQLite/Postgres) and migration strategy for save files.,"gamedeveloper.com,docs.python.org,fastapi.tiangolo.com,react.dev,nodejs.org",365,engine/USE_002.md
USE_003,USE Architecture,Specify event bus and subsystem integration points; include sequence diagrams.,"gamedeveloper.com,docs.python.org,fastapi.tiangolo.com,react.dev,nodejs.org",365,engine/USE_003.md
USE_004,USE Architecture,"Design a property-based testing approach for engine invariants (cap compliance, roster validity).","gamedeveloper.com,docs.python.org,fastapi.tiangolo.com,react.dev,nodejs.org",365,engine/USE_004.md
USE_005,USE Architecture,Plan seed management for reproducibility across subsystems and versions.,"gamedeveloper.com,docs.python.org,fastapi.tiangolo.com,react.dev,nodejs.org",365,engine/USE_005.md
USE_006,USE Architecture,"Security & integrity: checksums, anti-tamper for competitive leagues, and audit logs.","gamedeveloper.com,docs.python.org,fastapi.tiangolo.com,react.dev,nodejs.org",365,engine/USE_006.md
LEGAL_001,"Data, Sources & Legal","Clarify DMCA safe harbor for UGC (logos, names). Provide checklist and draft policy text.","copyright.gov,nfl.com,nflpa.com,law.cornell.edu",365,legal/LEGAL_001.md
LEGAL_002,"Data, Sources & Legal",Survey public/licensable data sources for player/team info; note license terms and API limits.,"copyright.gov,nfl.com,nflpa.com,law.cornell.edu",365,legal/LEGAL_002.md
LEGAL_003,"Data, Sources & Legal",Define privacy & data retention policies aligned with US/EU norms for user data and telemetry.,"copyright.gov,nfl.com,nflpa.com,law.cornell.edu",365,legal/LEGAL_003.md
LEGAL_004,"Data, Sources & Legal",Compose terms clarifying AI-generated content ownership and user responsibilities.,"copyright.gov,nfl.com,nflpa.com,law.cornell.edu",365,legal/LEGAL_004.md
UI_001,UI/UX & Presentation,"Draft GM Dashboard IA: what cards, KPIs, and actions belong on the landing screen; reference comparable games.","react.dev,material.io,tailwindcss.com,nngroup.com",365,ui/UI_001.md
UI_002,UI/UX & Presentation,Design Cap/Contracts UI with drill-down from team cap table → individual contract → restructure flow.,"react.dev,material.io,tailwindcss.com,nngroup.com",365,ui/UI_002.md
UI_003,UI/UX & Presentation,"Create Draft Board UX with fog-of-war visuals, interviews, and visit tracking.","react.dev,material.io,tailwindcss.com,nngroup.com",365,ui/UI_003.md
UI_004,UI/UX & Presentation,"Outline Trade Center UX with fairness meter, cap compliance checker, and CPU offer rationale.","react.dev,material.io,tailwindcss.com,nngroup.com",365,ui/UI_004.md
UI_005,UI/UX & Presentation,"Accessibility checklist for color/contrast, keyboard nav, and motion reduction.","react.dev,material.io,tailwindcss.com,nngroup.com",365,ui/UI_005.md
UI_006,UI/UX & Presentation,Design a News/Events feed that avoids spam and conveys meaningful signals.,"react.dev,material.io,tailwindcss.com,nngroup.com",365,ui/UI_006.md
WEB_001,Web Architecture & Scaling,Select stack (FastAPI/Node) and design the API for the MVP features; include OpenAPI skeleton.,"aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_001.md
WEB_002,Web Architecture & Scaling,"Choose DB tables for teams, players, contracts, picks; provide schema and indexes.","aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_002.md
WEB_003,Web Architecture & Scaling,"DevOps: containerization, CI/CD, test data seeding, and staging/prod environments.","aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_003.md
WEB_004,Web Architecture & Scaling,"Caching strategy for heavy reads (e.g., rosters, standings). Choose Redis vs. DB caching.","aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_004.md
WEB_005,Web Architecture & Scaling,Auth/session model for single-player now and future multi-user leagues.,"aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_005.md
WEB_006,Web Architecture & Scaling,Telemetry/metrics plan: what to log and how to analyze balancing issues.,"aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_006.md
WEB_007,Web Architecture & Scaling,Front-end build plan: Next.js + Tailwind + shadcn; state management and routing.,"aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_007.md
WEB_008,Web Architecture & Scaling,Performance targets and profiling plan (CPU/memory) for season sims at scale.,"aws.amazon.com,cloud.google.com,learn.microsoft.com,postgresql.org,redis.io",540,web/WEB_008.md
